,input.source,input.ap,input.states,input.edges,input.transitions,input.acc_sets,input.scc,input.nondetstates,input.nondeterministic,input.alternating,SimCo,SimCo_exit_status,Autfilt,Autfilt_exit_status,Seminator,Seminator_exit_status,Kofola,Kofola_exit_status,SimCo+,SimCo+_exit_status
149,data/automata/practice/practice_automata.hoa:1169950.1-1170026.7,2,28,40,40,2,28,13,1,0,43.0,ok,17.0,ok,16.0,ok,16.0,ok,36.0,ok
150,data/automata/practice/practice_automata.hoa:1170027.1-1172385.7,6,154,2196,2931,2,44,90,1,0,1056.0,ok,52.0,ok,52.0,ok,52.0,ok,265.0,ok
151,data/automata/practice/practice_automata.hoa:1172386.1-2616717.7,4,157256,1287067,2267156,2,85822,114909,1,0,,timeout,132061.0,ok,,timeout,,exit code,,timeout
152,data/automata/practice/practice_automata.hoa:2616718.1-2617198.7,3,133,339,476,2,31,34,1,0,1766.0,ok,118.0,ok,68.0,ok,72.0,ok,483.0,ok
153,data/automata/practice/practice_automata.hoa:2617199.1-2617368.7,2,50,111,111,2,19,15,1,0,396.0,ok,28.0,ok,24.0,ok,21.0,ok,149.0,ok
154,data/automata/practice/practice_automata.hoa:2617369.1-2617392.7,1,5,10,11,2,5,3,1,0,29.0,ok,4.0,ok,3.0,ok,4.0,ok,13.0,ok
155,data/automata/practice/practice_automata.hoa:2617393.1-2617421.7,4,6,14,14,2,5,3,1,0,55.0,ok,4.0,ok,3.0,ok,4.0,ok,13.0,ok
156,data/automata/practice/practice_automata.hoa:2617422.1-2617933.7,4,67,436,551,2,42,58,1,0,472.0,ok,51.0,ok,49.0,ok,56.0,ok,248.0,ok
157,data/automata/practice/practice_automata.hoa:2617934.1-2617962.7,4,6,14,14,2,5,3,1,0,55.0,ok,4.0,ok,3.0,ok,4.0,ok,13.0,ok
158,data/automata/practice/practice_automata.hoa:2617963.1-2618300.7,2,79,250,292,2,79,50,1,0,144.0,ok,49.0,ok,28.0,ok,28.0,ok,121.0,ok
159,data/automata/practice/practice_automata.hoa:2618301.1-2618387.7,4,12,66,192,2,10,6,1,0,206.0,ok,3.0,ok,2.0,ok,3.0,ok,63.0,ok
160,data/automata/practice/practice_automata.hoa:2618388.1-2618443.7,6,11,36,129,2,8,3,1,0,51.0,ok,8.0,ok,8.0,ok,8.0,ok,25.0,ok
161,data/automata/practice/practice_automata.hoa:2618444.1-2618512.7,2,12,48,48,2,4,4,1,0,186.0,ok,21.0,ok,14.0,ok,13.0,ok,69.0,ok
162,data/automata/practice/practice_automata.hoa:2618513.1-2618550.7,3,6,23,40,2,3,2,1,0,90.0,ok,11.0,ok,8.0,ok,7.0,ok,33.0,ok
163,data/automata/practice/practice_automata.hoa:2618551.1-2618577.7,2,5,13,13,2,4,4,1,0,42.0,ok,4.0,ok,3.0,ok,3.0,ok,17.0,ok
164,data/automata/practice/practice_automata.hoa:2618578.1-2618742.7,1,50,106,108,2,50,29,1,0,111.0,ok,8.0,ok,8.0,ok,8.0,ok,88.0,ok
165,data/automata/practice/practice_automata.hoa:2618743.1-2619099.7,3,74,274,284,2,52,61,1,0,331.0,ok,11.0,ok,9.0,ok,10.0,ok,72.0,ok
166,data/automata/practice/practice_automata.hoa:2619100.1-2619121.7,2,4,9,16,2,4,3,1,0,79.0,ok,4.0,ok,1.0,ok,2.0,ok,18.0,ok
167,data/automata/practice/practice_automata.hoa:2619122.1-2627964.7,3,1933,6901,7393,4,550,925,1,0,34484.0,ok,424.0,ok,183.0,ok,247.0,ok,4249.0,ok
168,data/automata/practice/practice_automata.hoa:2627965.1-2629044.7,7,72,999,2637,2,22,39,1,0,562.0,ok,26.0,ok,25.0,ok,28.0,ok,135.0,ok
169,data/automata/practice/practice_automata.hoa:2629045.1-2629093.7,3,11,29,38,2,11,7,1,0,28.0,ok,6.0,ok,5.0,ok,5.0,ok,15.0,ok
170,data/automata/practice/practice_automata.hoa:2629094.1-2629130.7,3,12,16,16,2,12,5,1,0,24.0,ok,9.0,ok,8.0,ok,8.0,ok,18.0,ok
171,data/automata/practice/practice_automata.hoa:2629131.1-2629158.7,1,7,12,12,2,7,3,1,0,20.0,ok,6.0,ok,5.0,ok,5.0,ok,12.0,ok
172,data/automata/practice/practice_automata.hoa:2629159.1-2629226.7,3,13,46,46,2,13,8,1,0,42.0,ok,7.0,ok,5.0,ok,5.0,ok,17.0,ok
173,data/automata/practice/practice_automata.hoa:2629227.1-2629362.7,2,33,94,122,2,10,8,1,0,605.0,ok,49.0,ok,22.0,ok,20.0,ok,181.0,ok
174,data/automata/practice/practice_automata.hoa:2629363.1-2630481.7,3,310,800,1139,2,76,80,1,0,4208.0,ok,192.0,ok,108.0,ok,120.0,ok,1154.0,ok
175,data/automata/practice/practice_automata.hoa:2630874.1-2630947.7,3,14,51,66,2,13,11,1,0,70.0,ok,5.0,ok,4.0,ok,5.0,ok,27.0,ok
176,data/automata/practice/practice_automata.hoa:2630948.1-2630976.7,1,6,14,14,2,5,4,1,0,35.0,ok,4.0,ok,3.0,ok,4.0,ok,8.0,ok
177,data/automata/practice/practice_automata.hoa:2630977.1-2631089.7,4,22,82,86,2,15,11,1,0,198.0,ok,8.0,ok,7.0,ok,8.0,ok,54.0,ok
178,data/automata/practice/practice_automata.hoa:2631090.1-2631316.7,5,32,186,291,2,19,26,1,0,119.0,ok,16.0,ok,15.0,ok,13.0,ok,63.0,ok
179,data/automata/practice/practice_automata.hoa:2631317.1-2631360.7,3,9,26,32,2,6,5,1,0,55.0,ok,6.0,ok,5.0,ok,6.0,ok,28.0,ok
180,data/automata/practice/practice_automata.hoa:2631361.1-2632060.7,5,76,615,699,2,26,41,1,0,603.0,ok,26.0,ok,25.0,ok,26.0,ok,135.0,ok
181,data/automata/practice/practice_automata.hoa:2632061.1-2632104.7,3,9,26,32,2,6,5,1,0,55.0,ok,6.0,ok,5.0,ok,6.0,ok,28.0,ok
182,data/automata/practice/practice_automata.hoa:2632105.1-2632255.7,3,45,97,97,2,16,12,1,0,278.0,ok,29.0,ok,18.0,ok,19.0,ok,123.0,ok
183,data/automata/practice/practice_automata.hoa:2632256.1-2632308.7,2,10,34,45,2,10,6,1,0,115.0,ok,10.0,ok,5.0,ok,6.0,ok,43.0,ok
184,data/automata/practice/practice_automata.hoa:2632309.1-2632433.7,3,37,79,81,2,36,7,1,0,93.0,ok,31.0,ok,26.0,ok,27.0,ok,78.0,ok
185,data/automata/practice/practice_automata.hoa:2632434.1-2632744.7,2,68,234,273,2,68,42,1,0,165.0,ok,49.0,ok,28.0,ok,28.0,ok,113.0,ok
186,data/automata/practice/practice_automata.hoa:2632745.1-2632771.7,3,8,10,10,2,8,3,1,0,20.0,ok,7.0,ok,6.0,ok,6.0,ok,14.0,ok
187,data/automata/practice/practice_automata.hoa:2632772.1-2638080.7,3,1614,3686,3686,2,907,859,1,0,7273.0,ok,778.0,ok,355.0,ok,437.0,ok,1639.0,ok
188,data/automata/practice/practice_automata.hoa:2638081.1-2638118.7,4,9,20,21,2,9,5,1,0,52.0,ok,8.0,ok,6.0,ok,7.0,ok,23.0,ok
189,data/automata/practice/practice_automata.hoa:2638119.1-2638153.7,4,8,18,19,2,8,5,1,0,50.0,ok,7.0,ok,5.0,ok,6.0,ok,21.0,ok
